SRC:it	 engine1: ChatGPT to English	IMP	RAM	TRM	UGR	MIS	STL	PRF	PRN	SEGS	Google Translate to English	IMP.1	RAM.1	TRM.1	UGR.1	MIS.1	STL.1	PRF.1	PRN.1	SEGS.1	Human Gold Standard	Comment	Post-edited segment
In questa fase, quando viene diramata un’allerta, è possibile compiere alcune azioni preventive per ridurre il rischio.	During this phase, when an alert is issued, you can take some preventive actions to reduce risk.						1.0				At this stage, when an alert is issued, there are some preventive actions that can be taken to reduce the risk.						1.0				You can take preventive actions to reduce the risk when an alert is issued.	ChatGPT: “during this phase” is more literal compared to the more natural “at this stage”, which is also approriate for the context GT: active form would be more effective	At this stage, when an alert is issued, you can take some preventive actions to reduce the risk.
Tieniti informato sulle situazioni di pericolo previste sul territorio e sulle misure adottate dal tuo Comune.	Stay informed about anticipated hazardous situations in the area and measures adopted by your Municipality.			2.0							Stay informed about the expected dangerous situations in your area and the measures adopted by your Municipality.										Keep yourself informed about the expected dangerous situations in the area and the measures adopted by your municipality.	"ChatGPT: ""anticipated hazardous situations"" is too technical for general audience"	Stay informed about expected dangerous situations in your area and the measures adopted by your municipality.
Non dormire nei piani seminterrati ed evita di soggiornarvi.	Do not sleep in basements and avoid staying there.										Do not sleep in basements and avoid staying there.										Do not sleep in basements and avoid staying there.		
Proteggi i locali che si trovano al piano strada e chiudi le porte di cantine, seminterrati o garage solo se non ti esponi a pericoli.	Protect street-level rooms and close basement or garage doors only if you are not putting yourself at risk.		2.0	2.0							Protect rooms located on the ground floor and close cellar, basement or garage doors only if you do not expose yourself to danger.				1.0		1.0				Protect rooms at street level and close cellar, basement, or garage doors only if you are not exposing yourself to danger.	"ChatGPT: ""street level rooms"" is a literal translation and is not idiomatic in English; ""ground floor rooms"" is more appropriate"	Protect ground floor rooms and close cellar, basement, or garage doors only if you are not putting yourself at risk.
Se ti devi spostare, valuta prima il percorso ed evita le zone allagabili.	If you need to move, plan your route first and avoid flood-prone areas.						2.0				If you have to move, evaluate the route first and avoid flood-prone areas.						1.0				If you need to move, assess the route first and avoid flood-prone areas.	"ChatGPT: ""plan your route"" is literal transl. and doesnt' convey the aspect of evaluating the best solution in case of emergency; ""move"" is ambiguous (same in GT)"	If you need to relocate, assess the route first and avoid flood-prone areas.
Valuta bene se mettere al sicuro l’automobile o altri beni: può essere pericoloso.	Carefully consider if securing your car or other belongings is necessary, as it can be dangerous.										Consider carefully whether to secure your car or other property: it can be dangerous.						1.0				Carefully evaluate whether to secure your car or other possessions; it can be dangerous.	"GT: word order of ""consider carefully whether"""	
Condividi quello che sai sull’allerta e sui comportamenti corretti.	Share what you know about the alert and appropriate behaviors.					1.0					Share what you know about alertness and proper behaviors.					4.0					Share what you know about alertness and proper behavior.	"ChatGPT: “alert” is too generic; better specify with “flood alert” or ""emergency alert"". GT: ""alertness"" is a false friend"	Share what you know about the emergency alert and proper behavior.
Verifica che la scuola di tuo figlio sia informata dell’allerta in corso e sia pronta ad attivare il proprio piano di emergenza.	Check that your child’s school is aware of the ongoing alert and is ready to activate its emergency plan.										Make sure your child’s school is aware of the current alert and is ready to activate their emergency plan.						1.0				Check that your child's school is informed of the ongoing alert and is ready to activate its emergency plan.	"GT: ""their"" instead of ""its"""	Check that your child's school is aware of the ongoing alert and is ready to activate its emergency plan.
Se sei in un luogo chiuso	If you are indoors										If you are in a closed place					4.0					Indoor	"GT: ""closed space"" is the literal translation of ""luogo chiuso""; is not appropriate in this context"	If you are indoors
Non scendere in cantine, seminterrati o garage per mettere al sicuro i beni: rischi la vita.	Do not go into basements, semi-basements, or garages to secure belongings: your life is at risk.			2.0							Do not go down into cellars, basements or garages to secure your belongings: you risk your life.										Do not enter cellars, basements, or garages to secure possessions; you will risk your life.	"ChatGPT: ""semi-basement"" is too technical for general audience"	
Non uscire assolutamente per mettere al sicuro l’automobile.	Do not leave to secure your car under any circumstances.					4.0					Do not go out at all to secure your car.										Do not go outside to secure the car.	"ChatGPT: ""do not leave"" is too ambiguous; this context requires more clarity"	Under any circumstances, do not go outside to secure the car.
Se ti trovi in un locale seminterrato o al piano terra, sali ai piani superiori. 	If you are in a semi-basement or on the ground floor, move to the upper floors. 			2.0							If you are in a basement or ground floor, go to the upper floors.										If you are in a basement or ground floor, go up to the upper floors.	"ChatGPT: ""semi-basement"" is too technical for general audience"	
Evita l’ascensore: si può bloccare.	Avoid using the elevator: it may stop.					2.0					 Avoid the elevator: it can get stuck.										 Avoid the elevator: it may get stuck.	"ChatGPT: ""it may stop"" is not enough precise and doesn't convey the sense of dangerousness"	
Aiuta gli anziani e le persone con disabilità che si trovano nell’edificio.	Help elderly and disabled people in the building.						1.0				Help the elderly and disabled people in the building.						1.0				Help older people and people with disabilities who are in the building.	"ChatGPT & GT: ""the elderly and disabled people"" could use a better formulation"	
Limita l’uso del cellulare: tenere libere le linee facilita i soccorsi.	Limit cell phone use: keeping lines free facilitates rescue operations.						2.0				Limit cell phone use: Keeping lines clear makes rescue easier.										Limit mobile phone use: keeping the lines clear makes rescuing easier.	ChatGPT: translation could be less formal	
Tieniti informato su come evolve la situazione e segui le indicazioni fornite dalle autorità.	Stay informed about the situation’s developments and follow instructions provided by authorities.						1.0				Stay informed about how the situation evolves and follow the indications provided by the authorities.			1.0							Stay informed on how the situation develops and follow directions provided by authorities.	"ChatGPT: “Situation’s developments” is correct but less idiomatic that e.g., “How the situation develops”. GT: ""indications"" is a false friend; is better to use ""instructions"", ""directions"""	
Chiudi il gas e disattiva l’impianto elettrico. 	Turn off gas and electricity. 					1.0	1.0				Turn off the gas and turn off the electrical system.						2.0				Turn off the gas and the electrical system. 	"ChatGPT: just ""electrivity"" is not enough and it is too generic; style too concise because of missing articles GT: redundancy in verb repetition"	
Non toccare impianti e apparecchi elettrici con mani o piedi bagnati.	Do not touch electrical systems and devices with wet hands or feet.			1.0							 Do not touch electrical systems and appliances with wet hands or feet.										Do not touch any electrical fixtures and appliances with wet hands or feet.	ChatGPT: “devices” is correct, but too generic; “appliances” is more precise and suitable for domestic context	Do not touch any electrical systems and appliances with wet hands or feet.
Non bere acqua dal rubinetto: potrebbe essere contaminata.	Do not drink tap water: it may be contaminated.										Don't drink tap water: it may be contaminated.						1.0				Do not drink water from the tap; it may be contaminated.	"GT: contraction of ""do not"" may not be suitable for the context"	Do not drink tap water; it may be contaminated.
Se sei all’aperto	If you are outdoors										If you are outdoors										Outdoor		If you are outdoors
Allontanati dalla zona allagata: per la velocità con cui scorre l’acqua, anche pochi centimetri potrebbero farti cadere.	Move away from the flooded area: due to the speed of the water flow, even a few centimeters could cause you to fall.										Move away from the flooded area: due to the speed at which the water flows, even a few centimetres could cause you to fall.										Move away from the flooded area: due to the speed at which water flows, even a few inches could make you fall.		Move away from the flooded area: due to the speed at which water flows, even a few centimeters could make you fall.
Raggiungi rapidamente l’area vicina più elevata, evitando di dirigerti verso pendii o scarpate artificiali che potrebbero franare.	Quickly reach the nearest higher area, avoiding slopes or artificial banks that could collapse.			2.0							Quickly reach the highest nearby area, avoiding heading towards slopes or artificial embankments that could collapse.					2.0					Reach the nearest high area quickly, avoiding heading to slopes or artificial embankments that could collapse.	"ChatGPT: “artificial banks” is less precise than, e.g., ""artificial embankments"" in this context GT: could use more preciseness, especially in ""highest nearby areas"""	
Trova riparo ai piani superiori di un edificio.	Take shelter on the upper floors of a building.										Find shelter on the upper floors of a building.										Find shelter on the upper floors of a building.		
Evita di utilizzare l’automobile. 	Avoid using your car. 										Avoid using your car. 										Avoid using a car. 		Avoid using your car. 
Anche pochi centimetri d’acqua potrebbero farti perdere il controllo del veicolo o causarne lo spegnimento: rischi di rimanere intrappolato.	Even a few centimeters of water could make you lose control of the vehicle or cause it to stall, trapping you.						1.0				Even a few centimeters of water could cause you to lose control of your vehicle or cause it to stall, leaving you trapped.										Even a few inches of water could cause you to lose control of the vehicle or cause it to shut down; you might be trapped.	ChatGPT: could use style improvements	Even a few centimeters of water could cause you to lose control of your vehicle or cause it to stall, leaving you trapped.
Evita sottopassi, argini, ponti: sostare o transitare in questi luoghi può essere molto pericoloso.	Avoid underpasses, embankments, bridges: standing or passing in these places can be very dangerous.			1.0							Avoid underpasses, embankments, bridges: stopping or driving in these places can be very dangerous.										Avoid underpasses, embankments, and bridges: stopping or transiting in these places can be very dangerous.	ChatGPT: “passing” is too generic for the context	Avoid underpasses, embankments, and bridges: stopping or walking through in these places can be very dangerous.
Fai attenzione a dove cammini: potrebbero esserci voragini, buche, tombini aperti, ecc.	Watch where you walk: there may be voids, holes, open manholes, etc.			1.0							Be careful where you walk: there may be sinkholes, potholes, open manholes, etc.										Be careful where you walk: there may be sinkholes, potholes, open manholes, etc.	"ChatGPT: too literal translation of ""voids"", which is not suitable for this context"	
Segui le indicazioni delle autorità prima di intraprendere qualsiasi azione, come rientrare in casa, spalare fango, svuotare acqua dalle cantine, ecc.	Follow the authorities’ instructions before taking any action, such as returning home, shoveling mud, draining water from basements, etc.										Follow the instructions of the authorities before taking any action, such as re-entering the house, shoveling mud, emptying water from the cellars, etc.										Follow the directions of the authorities before taking any action, such as re-entering the house, shoveling mud, emptying water from basements, etc.		
Verifica se puoi riattivare il gas e l’impianto elettrico. 	Check if you can reactivate gas and electricity. 			1.0							Check if you can turn the gas and electrical systems back on. 										Check to see if you can reactivate the gas and the electrical system. 	"ChatGPT: just ""electricity"" is not enough and it is too generic"	
Se necessario, chiedi il parere di un tecnico.	If necessary, ask for a technician’s opinion.										If necessary, seek the advice of a technician.										If necessary, ask for a technician's advice.		
Prima di utilizzare i sistemi di scarico, informati che le reti fognarie, le fosse biologiche e i pozzi non siano danneggiati.	Before using drainage systems, ensure that sewer networks, septic tanks, and wells are undamaged.										Before using wastewater systems, make sure that sewer systems, septic tanks and wells are not damaged.			1.0							Before using sewage systems, find out whether sewer systems, septic tanks, and wells are not damaged.	GT: “wastewater systems” is correct but not of general use; “drainage/sewage systems” is clearer and suitable for emergency context	Before using drainage systems, make sure that sewer systems, septic tanks, and wells are not damaged. 
Non transitare lungo strade allagate: potrebbero esserci voragini, buche, tombini aperti o cavi elettrici tranciati.	Do not walk along flooded streets: there may be voids, holes, open manholes, or cut electrical wires.			1.0							Do not drive along flooded roads: there may be sinkholes, potholes, open manholes or severed electrical wires. 										Do not pass along flooded roads: there may be sinkholes, potholes, open manholes, or sheared electrical wires. 	"ChatGPT: too literal translation of ""voids"", which is not suitable for this context"	
Inoltre, l’acqua potrebbe essere inquinata da carburanti o altre sostanze.	 Additionally, the water may be contaminated with fuel or other substances.										In addition, the water may be contaminated with fuel or other substances.										Also, the water could be polluted by fuels or other substances.		Also, the water may be contaminated with fuel or other substances.
Fai attenzione anche alle zone dove l’acqua si è ritirata: il fondo stradale potrebbe essere indebolito e cedere.	Be cautious even in areas where the water has receded: the road surface may be weakened and could collapse.										Also pay attention to areas where the water has receded: the road surface may be weakened and give way.										Pay attention to areas where the water has receded: the roadbed may weaken and fail.		Pay attention to areas where the water has receded: the road surface may be weakened and collapse.
Prima di bere l’acqua dal rubinetto assicurati che ordinanze o avvisi comunali non lo vietino; 	Before drinking tap water, ensure that there are no municipal ordinances or warnings against it; 										Before drinking tap water, make sure there are no municipal ordinances or notices prohibiting it; 										Before drinking water from the tap, make sure municipal ordinances or notices do not prohibit it; 		Before drinking tap water, make sure municipal ordinances or notices do not prohibit it; 
non mangiare cibi che siano venuti a contatto con l’acqua dell’alluvione, potrebbero essere contaminati.	do not eat food that has come into contact with floodwater, as it may be contaminated.										do not eat foods that have come into contact with flood water, as they may be contaminated.										do not eat food that has come in contact with flood water; it could be contaminated.		
