SRC:it	 ChatGPT to English	IMP_GPT	TRM_GPT	UGR_GPT	MIS_GPT	STL_GPT	PRF_GPT	PRN_GPT	SEGS_GPT	Google Translate to English	IMP_GT	TRM_GT	UGR_GT	MIS_GT	STL_GT	PRF_GT	PRN_GT	SEGS_GT	Gold Standard	Comment
In questa fase, quando viene diramata un’allerta, è possibile compiere alcune azioni preventive per ridurre il rischio.	During this phase, when an alert is issued, you can take some preventive actions to reduce risk.					1			1	At this stage, when an alert is issued, there are some preventive actions that can be taken to reduce the risk.					1			1	You can take preventive actions to reduce the risk when an alert is issued.	ChatGPT: “during this phase” is more literal compared to the more natural “at this stage”, which is also approriate for the context GT: active form would be more effective
Tieniti informato sulle situazioni di pericolo previste sul territorio e sulle misure adottate dal tuo Comune.	Stay informed about anticipated hazardous situations in the area and measures adopted by your Municipality.		2						2	Stay informed about the expected dangerous situations in your area and the measures adopted by your Municipality.								0	Keep yourself informed about the expected dangerous situations in the area and the measures adopted by your municipality.	ChatGPT: "anticipated hazardous situations" is too technical for general audience
Non dormire nei piani seminterrati ed evita di soggiornarvi.	Do not sleep in basements and avoid staying there.								0	Do not sleep in basements and avoid staying there.								0	Do not sleep in basements and avoid staying there.	
Proteggi i locali che si trovano al piano strada e chiudi le porte di cantine, seminterrati o garage solo se non ti esponi a pericoli.	Protect street-level rooms and close basement or garage doors only if you are not putting yourself at risk.		2						2	Protect rooms located on the ground floor and close cellar, basement or garage doors only if you do not expose yourself to danger.			1		1			2	Protect rooms at street level and close cellar, basement, or garage doors only if you are not exposing yourself to danger.	ChatGPT: "street level rooms" is a literal translation and is not idiomatic in English; "ground floor rooms" is more appropriate
Se ti devi spostare, valuta prima il percorso ed evita le zone allagabili.	If you need to move, plan your route first and avoid flood-prone areas.					2			2	If you have to move, evaluate the route first and avoid flood-prone areas.					1			1	If you need to move, assess the route first and avoid flood-prone areas.	ChatGPT: "plan your route" is literal transl. and doesnt' convey the aspect of evaluating the best solution in case of emergency; "move" is ambiguous (same in GT)
Valuta bene se mettere al sicuro l’automobile o altri beni: può essere pericoloso.	Carefully consider if securing your car or other belongings is necessary, as it can be dangerous.								0	Consider carefully whether to secure your car or other property: it can be dangerous.					1			1	Carefully evaluate whether to secure your car or other possessions; it can be dangerous.	GT: word order of "consider carefully whether"
Condividi quello che sai sull’allerta e sui comportamenti corretti.	Share what you know about the alert and appropriate behaviors.				1				1	Share what you know about alertness and proper behaviors.				4				4	Share what you know about alertness and proper behavior.	ChatGPT: “alert” is too generic; better specify with “flood alert” or "emergency alert". GT: "alertness" is a false friend
Verifica che la scuola di tuo figlio sia informata dell’allerta in corso e sia pronta ad attivare il proprio piano di emergenza.	Check that your child’s school is aware of the ongoing alert and is ready to activate its emergency plan.								0	Make sure your child’s school is aware of the current alert and is ready to activate their emergency plan.					1			1	Check that your child's school is informed of the ongoing alert and is ready to activate its emergency plan.	GT: "their" instead of "its"
Se sei in un luogo chiuso	If you are indoors								0	If you are in a closed place				4				4	Indoor	GT: "closed space" is the literal translation of "luogo chiuso"; is not appropriate in this context
Non scendere in cantine, seminterrati o garage per mettere al sicuro i beni: rischi la vita.	Do not go into basements, semi-basements, or garages to secure belongings: your life is at risk.		2						2	Do not go down into cellars, basements or garages to secure your belongings: you risk your life.								0	Do not enter cellars, basements, or garages to secure possessions; you will risk your life.	ChatGPT: "semi-basement" is too technical for general audience
Non uscire assolutamente per mettere al sicuro l’automobile.	Do not leave to secure your car under any circumstances.				4				4	Do not go out at all to secure your car.								0	Do not go outside to secure the car.	ChatGPT: "do not leave" is too ambiguous; this context requires more clarity
Se ti trovi in un locale seminterrato o al piano terra, sali ai piani superiori. 	If you are in a semi-basement or on the ground floor, move to the upper floors. 		2						2	If you are in a basement or ground floor, go to the upper floors.								0	If you are in a basement or ground floor, go up to the upper floors.	ChatGPT: "semi-basement" is too technical for general audience
Evita l’ascensore: si può bloccare.	Avoid using the elevator: it may stop.				2				2	 Avoid the elevator: it can get stuck.								0	 Avoid the elevator: it may get stuck.	ChatGPT: "it may stop" is not enough precise and doesn't convey the sense of dangerousness
Aiuta gli anziani e le persone con disabilità che si trovano nell’edificio.	Help elderly and disabled people in the building.					1			1	Help the elderly and disabled people in the building.					1			1	Help older people and people with disabilities who are in the building.	ChatGPT & GT: "the elderly and disabled people" could use a better formulation
Limita l’uso del cellulare: tenere libere le linee facilita i soccorsi.	Limit cell phone use: keeping lines free facilitates rescue operations.					2			2	Limit cell phone use: Keeping lines clear makes rescue easier.								0	Limit mobile phone use: keeping the lines clear makes rescuing easier.	ChatGPT: translation could be less formal
Tieniti informato su come evolve la situazione e segui le indicazioni fornite dalle autorità.	Stay informed about the situation’s developments and follow instructions provided by authorities.					1			1	Stay informed about how the situation evolves and follow the indications provided by the authorities.		1						1	Stay informed on how the situation develops and follow directions provided by authorities.	ChatGPT: “Situation’s developments” is correct but less idiomatic that e.g., “How the situation develops”. GT: "indications" is a false friend; is better to use "instructions", "directions"
Chiudi il gas e disattiva l’impianto elettrico. 	Turn off gas and electricity. 				1	1			2	Turn off the gas and turn off the electrical system.					2			2	Turn off the gas and the electrical system. 	ChatGPT: just "electrivity" is not enough and it is too generic; style too concise because of missing articles GT: redundancy in verb repetition
Non toccare impianti e apparecchi elettrici con mani o piedi bagnati.	Do not touch electrical systems and devices with wet hands or feet.		1						1	 Do not touch electrical systems and appliances with wet hands or feet.								0	Do not touch any electrical fixtures and appliances with wet hands or feet.	ChatGPT: “devices” is correct, but too generic; “appliances” is more precise and suitable for domestic context
Non bere acqua dal rubinetto: potrebbe essere contaminata.	Do not drink tap water: it may be contaminated.								0	Don't drink tap water: it may be contaminated.					1			1	Do not drink water from the tap; it may be contaminated.	GT: contraction of "do not" may not be suitable for the context
Se sei all’aperto	If you are outdoors								0	If you are outdoors								0	Outdoor	
Allontanati dalla zona allagata: per la velocità con cui scorre l’acqua, anche pochi centimetri potrebbero farti cadere.	Move away from the flooded area: due to the speed of the water flow, even a few centimeters could cause you to fall.								0	Move away from the flooded area: due to the speed at which the water flows, even a few centimetres could cause you to fall.								0	Move away from the flooded area: due to the speed at which water flows, even a few inches could make you fall.	
Raggiungi rapidamente l’area vicina più elevata, evitando di dirigerti verso pendii o scarpate artificiali che potrebbero franare.	Quickly reach the nearest higher area, avoiding slopes or artificial banks that could collapse.		2						2	Quickly reach the highest nearby area, avoiding heading towards slopes or artificial embankments that could collapse.				2				2	Reach the nearest high area quickly, avoiding heading to slopes or artificial embankments that could collapse.	ChatGPT: “artificial banks” is less precise than, e.g., "artificial embankments" in this context GT: could use more preciseness, especially in "highest nearby areas"
Trova riparo ai piani superiori di un edificio.	Take shelter on the upper floors of a building.								0	Find shelter on the upper floors of a building.								0	Find shelter on the upper floors of a building.	
Evita di utilizzare l’automobile. 	Avoid using your car. 								0	Avoid using your car. 								0	Avoid using a car. 	
Anche pochi centimetri d’acqua potrebbero farti perdere il controllo del veicolo o causarne lo spegnimento: rischi di rimanere intrappolato.	Even a few centimeters of water could make you lose control of the vehicle or cause it to stall, trapping you.					1			1	Even a few centimeters of water could cause you to lose control of your vehicle or cause it to stall, leaving you trapped.								0	Even a few inches of water could cause you to lose control of the vehicle or cause it to shut down; you might be trapped.	ChatGPT: could use style improvements
Evita sottopassi, argini, ponti: sostare o transitare in questi luoghi può essere molto pericoloso.	Avoid underpasses, embankments, bridges: standing or passing in these places can be very dangerous.		1						1	Avoid underpasses, embankments, bridges: stopping or driving in these places can be very dangerous.								0	Avoid underpasses, embankments, and bridges: stopping or transiting in these places can be very dangerous.	ChatGPT: “passing” is too generic for the context
Fai attenzione a dove cammini: potrebbero esserci voragini, buche, tombini aperti, ecc.	Watch where you walk: there may be voids, holes, open manholes, etc.		1						1	Be careful where you walk: there may be sinkholes, potholes, open manholes, etc.								0	Be careful where you walk: there may be sinkholes, potholes, open manholes, etc.	ChatGPT: too literal translation of "voids", which is not suitable for this context
Segui le indicazioni delle autorità prima di intraprendere qualsiasi azione, come rientrare in casa, spalare fango, svuotare acqua dalle cantine, ecc.	Follow the authorities’ instructions before taking any action, such as returning home, shoveling mud, draining water from basements, etc.								0	Follow the instructions of the authorities before taking any action, such as re-entering the house, shoveling mud, emptying water from the cellars, etc.								0	Follow the directions of the authorities before taking any action, such as re-entering the house, shoveling mud, emptying water from basements, etc.	
Verifica se puoi riattivare il gas e l’impianto elettrico. 	Check if you can reactivate gas and electricity. 		1						1	Check if you can turn the gas and electrical systems back on. 								0	Check to see if you can reactivate the gas and the electrical system. 	ChatGPT: just "electricity" is not enough and it is too generic
Se necessario, chiedi il parere di un tecnico.	If necessary, ask for a technician’s opinion.								0	If necessary, seek the advice of a technician.								0	If necessary, ask for a technician's advice.	
Prima di utilizzare i sistemi di scarico, informati che le reti fognarie, le fosse biologiche e i pozzi non siano danneggiati.	Before using drainage systems, ensure that sewer networks, septic tanks, and wells are undamaged.								0	Before using wastewater systems, make sure that sewer systems, septic tanks and wells are not damaged.		1						1	Before using sewage systems, find out whether sewer systems, septic tanks, and wells are not damaged.	GT: “wastewater systems” is correct but not of general use; “drainage/sewage systems” is clearer and suitable for emergency context
Non transitare lungo strade allagate: potrebbero esserci voragini, buche, tombini aperti o cavi elettrici tranciati.	Do not walk along flooded streets: there may be voids, holes, open manholes, or cut electrical wires.	2	2		2				6	Do not drive along flooded roads: there may be sinkholes, potholes, open manholes or severed electrical wires. 								0	Do not pass along flooded roads: there may be sinkholes, potholes, open manholes, or sheared electrical wires. 	ChatGPT: too literal translation of "voids", which is not suitable for this context
Inoltre, l’acqua potrebbe essere inquinata da carburanti o altre sostanze.	 Additionally, the water may be contaminated with fuel or other substances.								0	In addition, the water may be contaminated with fuel or other substances.								0	Also, the water could be polluted by fuels or other substances.	
Fai attenzione anche alle zone dove l’acqua si è ritirata: il fondo stradale potrebbe essere indebolito e cedere.	Be cautious even in areas where the water has receded: the road surface may be weakened and could collapse.								0	Also pay attention to areas where the water has receded: the road surface may be weakened and give way.								0	Pay attention to areas where the water has receded: the roadbed may weaken and fail.	
Prima di bere l’acqua dal rubinetto assicurati che ordinanze o avvisi comunali non lo vietino; 	Before drinking tap water, ensure that there are no municipal ordinances or warnings against it; 								0	Before drinking tap water, make sure there are no municipal ordinances or notices prohibiting it; 								0	Before drinking water from the tap, make sure municipal ordinances or notices do not prohibit it; 	
non mangiare cibi che siano venuti a contatto con l’acqua dell’alluvione, potrebbero essere contaminati.	do not eat food that has come into contact with floodwater, as it may be contaminated.								0	do not eat foods that have come into contact with flood water, as they may be contaminated.								0	do not eat food that has come in contact with flood water; it could be contaminated.	
Cosa fare - Terremoto	What to do - Earthquake								0	What to do - Earthquake								0	What to do - Earthquake	
Con il consiglio di un tecnico	With the advice of a professional		2						2	With the advice of a technician								0	With the advice of a technician	ChatGPT: "professional" is not the correct term; "technician" is more appropriate, considering the following sentences
A volte basta rinforzare i muri portanti o migliorare i collegamenti fra pareti e solai: per fare la scelta giusta, fatti consigliare da un tecnico esperto.	Sometimes, it’s enough to reinforce load-bearing walls or improve the connections between walls and floors: to make the right choice, seek advice from an expert technician.					2			2	Sometimes it is enough to reinforce the load-bearing walls or improve the connections between walls and floors: to make the right choice, get advice from an expert technician.					2	1		3	Sometimes, you might just need to reinforce load-bearing walls or improve connections between walls and floors: to make the right choice, seek the advice of a qualified technician.	ChatGPT: too literal; "expert" seems a literal translation, "qualified" sounds better  GT: too literal; missing comma after "sometimes"; "get advice" seems a literal translation from IT, same for "expert technician"
Da solo	On your own								0	Alone				2				2	On your own	GT: "alone" is not appropriate for the context
Allontana mobili pesanti da letti o divani.	Move heavy furniture away from beds or sofas.								0	Move heavy furniture away from beds or sofas.								0	Move heavy furniture away from beds or sofas.	
Fissa alle pareti scaffali, librerie e altri mobili alti.	Secure shelves, bookcases, and other tall furniture to the walls.								0	Fix shelves, bookcases and other tall furniture to the walls.	2			4				6	Fix the wall shelves, bookcases, and other tall furniture.	GT: "fix" is not a correct translation of "fissa"; "secure" better conveys the importante of the action
Appendi quadri e specchi con ganci chiusi, che impediscano loro di staccarsi dalla parete.	Hang pictures and mirrors using closed hooks to prevent them from detaching from the wall.		2						2	Hang pictures and mirrors with closed hooks, which prevent them from detaching from the wall.		2			1			3	Hang pictures and mirrors with closed hooks to prevent them from coming off the wall.	ChatGPT: "detaching" may be too technical for the audience GT: same as above; could use a simpler structure
Metti gli oggetti pesanti sui ripiani bassi delle scaffalature; su quelli alti, puoi fissare gli oggetti con il nastro biadesivo.	Place heavy items on the lower shelves of furniture; for higher shelves, you can secure objects with double-sided tape.				2				2	Place heavy objects on the lower shelves of the shelves; on the higher ones, you can fix the objects with double-sided tape.	2			4				6	Put heavy items on lower shelves; you can hold objects with double-sided tape on the higher ones.	ChatGPT: "lower shelves of furniture" is too literal from IT GT: repetition, mistranslation of "fix" instead of "secure"
In cucina, utilizza un fermo per l’apertura degli sportelli dei mobili dove sono contenuti piatti e bicchieri, in modo che non si aprano durante la scossa.	In the kitchen, use latches on cabinet doors containing plates and glasses to prevent them from opening during a tremor.		4						4	In the kitchen, use a stopper to open the doors of the furniture where plates and glasses are stored, so that they do not open during the earthquake.	16	2		16	2			36	In the kitchen, secure the cupboard flaps where plates and glasses are stored so they do not open during the earthquake.	ChatGPT: "tremor" is a technical term, not suitable for this context GT: completely mistranslation: distorted meaning and can impact the security 
Impara dove sono e come si chiudono i rubinetti di gas, acqua e l’interruttore generale della luce.	Learn the locations of and how to shut off the gas, water valves, and the main power switch.		2			8			10	Learn where the gas and water taps and the main light switch are and how to turn them off.	2	2		2				6	Learn where and how to close the gas and water taps and the main light switch.	ChatGPT: too literal translation, resulting in a too complicated sentence structure; "water valves" is not immediate GT: "light switch" is not the correct terminology, is too generic and may cause confusion
Prepara un kit di emergenza che contenga, ad esempio, copia dei documenti, cassetta di pronto soccorso, torcia elettrica, radio a pile, ecc.	Prepare an emergency kit containing, for example, copies of important documents, a first aid kit, a flashlight, a battery-powered radio, etc.					1			1	Prepare an emergency kit that contains, for example, copies of documents, a first aid kit, a flashlight, a battery-powered radio, etc.						1		1	Prepare an emergency kit containing, for example, a copy of documents, a first aid kit, a flashlight, a battery-powered radio, etc.	ChatGPT: adding of "important" which it is not present in source
Individua i punti sicuri dell’abitazione dove ripararti in caso di terremoto.	Identify safe spots in your home where you can take cover during an earthquake.	2	2			2			6	Identify safe places in your home where you can take shelter in the event of an earthquake.					2			2	Identify safe places in your home to take shelter during an earthquake.	ChatGPT: "take cover" may not be suitable for this context (more of a military domain); "spot" seems a literal translation from IT GT: "in the event of an earthquake" is too literal
Informati sul Piano di protezione civile del tuo Comune.	Find out about your municipality's Civil Protection Plan.								0	Find out about your municipality's civil protection plan.						1		1	Inform yourself about your municipality's Civil Protection Plan.	ChatGPT & GT: minor proofreading errors regarding capitalised initials
Se sei in un luogo chiuso	If you are indoors								0	If you are in a closed place				4				4	Indoor	
Mettiti nel vano di una porta inserita in un muro portante (quello più spesso), vicino a una parete portante o sotto una trave, oppure riparati sotto un letto o un tavolo resistente.	Take cover in a doorway set in a load-bearing wall (the thickest one), near a load-bearing wall, or under a sturdy bed or table.	2	2			2			6	Get into a doorway in a load-bearing wall (the thickest one), near a load-bearing wall or under a beam, or take shelter under a sturdy bed or table.					2			2	Stand in a doorway built into a load-bearing wall (the thicker one), near a load-bearing wall or under a beam, or take cover under a resistant bed or table.	ChatGPT: style error because of a missing part of the source sentence GT: "get into a doorway", although correct, is not approariate for the intended audience, as it may cause confusion and doensn't convey the right meaning
Al centro della stanza potresti essere colpito dalla caduta di oggetti, pezzi di intonaco, controsoffitti, mobili ecc.	In the middle of the room, you might be struck by falling objects, pieces of plaster, false ceilings, furniture, etc.					2			2	In the center of the room you could be hit by falling objects, pieces of plaster, false ceilings, furniture, etc.					2			2	In the middle of the room, you may be hit by falling objects, pieces of plaster, suspended ceilings, furniture, etc.	ChatGPT: "struck" is not the right term, is better to use "hit" GT: "center of the room" seems a calque from IT
Non precipitarti fuori, ma attendi la fine della scossa.	Do not rush outside but wait for the tremor to stop.		4				1		5	Do not rush outside, but wait for the earthquake to end.								0	Do not rush outside, but wait until the shaking is over.	ChatGPT: "tremor" is too technical; missing comma befor "but"
Se sei all’aperto	If you are outdoors								0	If you are outdoors								0	Outdoor	
Allontanati da edifici, alberi, lampioni, linee elettriche: potresti essere colpito da vasi, tegole e altri materiali che cadono.	Move away from buildings, trees, streetlights, and power lines: you could be struck by falling pots, tiles, or other debris.	4	4			4			12	Move away from buildings, trees, street lamps, power lines: you could be hit by vases, tiles, and other falling materials.					1			1	Move away from buildings, trees, lampposts, power lines: you could be hit by vases, tiles and other materials that can fall	ChatGPT: "hit" instead of "struck"; "pots" is too generic and may be confused with kitchen pots; "debris" is too proficient GT: "streetlight" is more suitable
Fai attenzione alle possibili conseguenze del terremoto: crollo di ponti, frane, perdite di gas ecc.	Be mindful of potential earthquake aftermaths: bridge collapses, landslides, gas leaks, etc.		2			2			4	Pay attention to the possible consequences of an earthquake: collapsed bridges, landslides, gas leaks, etc.								0	Pay attention to other possible consequences of the earthquake: collapse of bridges, landslides, gas leaks, etc.	ChatGPT: "be mindful" is not appropriate for the context and "aftermaths" is not the right terminology
Assicurati dello stato di salute delle persone attorno a te e, se necessario, presta i primi soccorsi.	Check the health of those around you and provide first aid if necessary.					2			2	Check the health of the people around you and, if necessary, provide first aid.					2			2	Ensure the health condition of the people around you and give first aid if necessary.	GT: style error as it is too literal, a calque from IT
Prima di uscire chiudi gas, acqua e luce e indossa le scarpe. 	Before leaving, turn off the gas, water, and electricity, and wear shoes.								0	Before leaving, turn off the gas, water and electricity and put on your shoes.					1			1	Before leaving, turn off the gas, water, and electricity, and wear shoes.	GT: "put on your shoes" is too generic
Uscendo, evita l’ascensore e fai attenzione alle scale, che potrebbero essere danneggiate.	When exiting, avoid using the elevator and be cautious with the stairs, which might be damaged.					4			4	When leaving, avoid the elevator and be careful of the stairs, which could be damaged.					2			2	On your way out, avoid the elevator and be careful on the stairs, as they may be damaged.	ChatGPT: "when exiting" is too literal  GT: "when leaving" is too generic
Una volta fuori, mantieni un atteggiamento prudente.	Once outside, maintain a cautious attitude.					2			2	Once outside, maintain a prudent attitude.		4						4	Once outside, maintain a cautious attitude.	GT: "prudent" is too difficult for intended audience and belongs to other domains
Se sei in una zona a rischio maremoto, allontanati dalla spiaggia e raggiungi un posto elevato.	If you are in a tsunami-risk area, move away from the beach and seek higher ground.					1			1	If you are in a tsunami risk area, move away from the beach and reach a high place.		2				1		3	If you are in a zone exposed to tsunami risk, move away from the beach and reach a higher place.	GT: minor proofreading error (missing hyphen); "reach high place" although correct, is less idiomatic for this context
Limita, per quanto possibile, l’uso del telefono.	Limit phone usage as much as possible.								0	Limit, as much as possible, the use of the telephone.					2			2	Limit, as much as possible, the use of the phone.	GT: too literal and less immediate
Limita l’uso dell’auto per evitare di intralciare il passaggio dei mezzi di soccorso.	Limit car use to avoid obstructing emergency vehicles.								0	Limit the use of the car to avoid obstructing the passage of emergency vehicles.					2			2	Limit the use of the car to avoid obstructing the passage of emergency vehicles.	GT: more complicated structure than original
Raggiungi le aree di attesa previste dal Piano di protezione civile comunale.	Reach the designated assembly areas outlined in your municipality's Civil Protection Plan.					2			2	Reach the waiting areas provided for by the Municipal Civil Protection Plan.		8				1		9	Reach the waiting areas provided by your municipality's emergency plan.	ChatGPT: too literal, may be simplified for intended audience GT: minor proofreading errors (capitalisation); "waiting areas" is literal tr and not the correct terminology
Cosa fare - Vesuvio	What to do - Vesuvius								0	What to do - Vesuvius								0	What to do - Vesuvius	
Verifica se l’area in cui vivi, lavori o soggiorni rientra in zona rossa o gialla.	Check if the area where you live, work, or stay is within the red or yellow zone.								0	Check if the area where you live, work or stay is in the red or yellow zone.								0	Verify if the area where you live, work, or stay is in the red or yellow zone.	
Informati sul Piano di protezione civile del tuo Comune.	Learn about the Civil Protection Plan of your municipality.								0	Find out about your municipality's civil protection plan.						1		1	Find out about your municipality's Civil Protection Plan.	
Se tu o un tuo familiare avete bisogno di particolare assistenza (persone con disabilità, anziani), segnalalo al Comune.	If you or a family member needs special assistance (people with disabilities, elderly), report it to your municipality.			1		1			2	If you or a family member need special assistance (people with disabilities, elderly), report it to the Municipality.								0	If you or a family member needs special assistance (people with disabilities, older people), report it to the municipality.	
Tieniti informato sullo stato di attività del vulcano tramite il sito dell’Osservatorio Vesuviano dell’INGV, siti web e social media istituzionali e numeri verdi.	Stay informed about the volcano's activity status through the website of the INGV Vesuvian Observatory, institutional websites and social media, and toll-free numbers.	1	1		1	1			4	Stay informed about the status of the volcano's activity through the INGV Vesuvius Observatory website, institutional websites and social media, and toll-free numbers.	1	1		1	1			4	Stay informed about the status of volcanic activity through INGV's Vesuvius Observatory website, institutional websites, social media, and hotline numbers.	Toll-free numbers, although correct, might not be universally understood. Usually, in case of emergencies or natural disasters, a more appropriate term would be "hotline, as displayed in the Gold Standard sample.
Le eruzioni vulcaniche sono spesso precedute da terremoti. 	Volcanic eruptions are often preceded by earthquakes. 					2			2	Volcanic eruptions are often preceded by earthquakes. 								0	Earthquakes often precede volcanic eruptions. 	
Per questo, verifica che la tua casa sia sicura e adotta tutti gli accorgimenti necessari a eliminare le situazioni che possono rappresentare un pericolo.	Therefore, check if your home is safe and take all necessary precautions to eliminate potential hazards.		2			2			4	For this reason, make sure your home is safe and take all necessary precautions to eliminate situations that may represent a danger.								0	Therefore, verify that your home is safe and take all necessary measures to avoid situations that may pose a danger.	Again, the ChatGPT sample contains the noun "hazard" that might be not be fully undestood by non-English native speaker. Therefore, a more transparent formulation, as in the other two segments, looks like a better option here.
In questa fase operativa si intensifica il monitoraggio del vulcano e si verificano i Piani di protezione civile.	In this operational phase, volcano monitoring is intensified, and Civil Protection Plans are tested.		1			1			2	In this operational phase, monitoring of the volcano is intensified and the Civil Protection Plans are verified.								0	During this operational phase, volcano monitoring is intensified, and Civil Protection Plans are verified.	
Già in fase di attenzione, quindi ben prima di una eventuale eruzione, l’attività del vulcano può dare luogo a fenomeni pericolosi, come terremoti.	Even during the attention phase, well before a potential eruption, volcanic activity can lead to dangerous phenomena like earthquakes								0	Already in the attention phase, therefore well before a possible eruption, the volcano's activity can give rise to dangerous phenomena, such as earthquakes.								0	Already in the attention phase, thus well before a potential eruption, volcanic activity can result in dangerous phenomena, such as earthquakes.	
Tieni quindi a mente i comportamenti relativi al rischio sismico.	Keep in mind behaviors related to seismic risk.						1		1	Therefore, keep in mind the behaviors related to seismic risk.								0	Therefore, keep in mind behaviours related to seismic risk.	The ChatGPT sample omits the preposition "Therefore".
Se vivi in zona rossa	If you live in the red zone					1			1	If you live in a red zone								0	If you live in a red zone	In the ChatGPT sample it is preferable to use the indefinite articles as there might be more than one red zone. 
Chiedi al tuo Comune informazioni sul Piano di protezione civile per sapere quali sono le vie di allontanamento e le aree di attesa.	Ask your municipality for information about the Civil Protection Plan to find out about evacuation routes and waiting areas.								0	Ask your Municipality for information on the Civil Protection Plan to find out which are the evacuation routes and waiting areas.								0	Ask your municipality about the Civil Protection Plan to learn about evacuation routes and waiting areas. 	In the Google segment there is no actual need to display the noun "municipality" with a capital M. 
Valuta se, quando le autorità daranno l’indicazione, ti allontanerai con la tua auto o con il mezzo che sarà messo a disposizione dalla protezione civile.	Evaluate whether, when authorities give the order, you will leave using your car or the transport provided by Civil Protection.								0	Consider whether, when the authorities give the indication, you will leave with your car or with the vehicle that will be made available by the Civil Protection.					1			1	When the authorities give the directions, evaluate whether you will evacuate with your car, or the vehicle provided by the civil protection. 	In the Google samples "vehicle" might not be preferable over "transport". 
