SRC:it	 engine1: ChatGPT to English	IMP_GPT	RAM_GPT	TRM_GPT	UGR_GPT	MIS_GPT	STL_GPT	PRF_GPT	PRN_GPT	SEGS_GPT	Google Translate to English	IMP_GT	RAM_GT	TRM_GT	UGR_GT	MIS_GT	STL_GT	PRF_GT	PRN_GT	SEGS_GT	Human Gold Standard	Segment Penalty Score	Levenstein XXX-Human	Comment	Post-edited segment
Se necessario, chiedi il parere di un tecnico.	If necessary, ask for a technician’s opinion.	1					1				If necessary, seek the advice of a technician.										If necessary, ask for a technician's advice.				
Prima di utilizzare i sistemi di scarico, informati che le reti fognarie, le fosse biologiche e i pozzi non siano danneggiati.	Before using drainage systems, ensure that sewer networks, septic tanks, and wells are undamaged.	1					1				Before using wastewater systems, make sure that sewer systems, septic tanks and wells are not damaged.										Before using sewage systems, find out whether sewer systems, septic tanks, and wells are not damaged.		#ERROR!	a. Drainage systems sounds to generic and readers might not understand what the instructions refer to.	
Non transitare lungo strade allagate: potrebbero esserci voragini, buche, tombini aperti o cavi elettrici tranciati.	Do not walk along flooded streets: there may be voids, holes, open manholes, or cut electrical wires.	2		2		2	1				Do not drive along flooded roads: there may be sinkholes, potholes, open manholes or severed electrical wires. 										Do not pass along flooded roads: there may be sinkholes, potholes, open manholes, or sheared electrical wires. 		#ERROR!		
Inoltre, l’acqua potrebbe essere inquinata da carburanti o altre sostanze.	 Additionally, the water may be contaminated with fuel or other substances.										In addition, the water may be contaminated with fuel or other substances.										Also, the water could be polluted by fuels or other substances.				
Fai attenzione anche alle zone dove l’acqua si è ritirata: il fondo stradale potrebbe essere indebolito e cedere.	Be cautious even in areas where the water has receded: the road surface may be weakened and could collapse.										Also pay attention to areas where the water has receded: the road surface may be weakened and give way.	2		1		1	2				Pay attention to areas where the water has receded: the roadbed may weaken and fail.		#ERROR!	a. The use of "pay attention" both in the Google and Gold Standard seems to mitigate the awareness and the dangerous of the situation. Aslo, "to pay attention" could refer to the simple action of watching, while the sourse text clearly refer to an action of being on the look out of a possible danger.	
Prima di bere l’acqua dal rubinetto assicurati che ordinanze o avvisi comunali non lo vietino; non mangiare cibi che siano venuti a contatto con l’acqua dell’alluvione, potrebbero essere contaminati.	Before drinking tap water, ensure that there are no municipal ordinances or warnings against it; do not eat food that has come into contact with floodwater, as it may be contaminated.										Before drinking tap water, make sure there are no municipal ordinances or notices prohibiting it; do not eat foods that have come into contact with flood water, as they may be contaminated.	1					1	1			Before drinking water from the tap, make sure municipal ordinances or notices do not prohibit it; do not eat food that has come in contact with flood water; it could be contaminated.		#ERROR!	a. The Google sample showcases the use of the verb "to prohibit" that sounds a bit heavy if looking to the overall tone of the translation. Also, the same sample displays the noun "food" with the plural. The source text refer to food as generic edible items; therefore, singural might fit better here. b. Although grammatically correct, "water from the tap", as shown in the Gold Standard sample is almost never used in English, but always shortheaded in the form "tap water".	
Cosa fare - Terremoto	What to do - Earthquake										What to do - Earthquake										What to do - Earthquake				Earthquake - What To Do
Con il consiglio di un tecnico	With the advice of a professional	1		1		1					With the advice of a technician						1				With the advice of a technician		#ERROR!	a. "Professional" defines a more generic domain. b. On the other hand, the other two samples repeat the term "technician" twice, which makes the outcome sound more redundant.	
A volte basta rinforzare i muri portanti o migliorare i collegamenti fra pareti e solai: per fare la scelta giusta, fatti consigliare da un tecnico esperto.	Sometimes, it’s enough to reinforce load-bearing walls or improve the connections between walls and floors: to make the right choice, seek advice from an expert technician.						1				Sometimes it is enough to reinforce the load-bearing walls or improve the connections between walls and floors: to make the right choice, get advice from an expert technician.						1				Sometimes, you might just need to reinforce load-bearing walls or improve connections between walls and floors: to make the right choice, seek the advice of a qualified technician.		#ERROR!	Comparing to the gold standards, the two samples feature a heavier cast from the source text.	
Da solo	On your own										Alone	2					2				On your own		#ERROR!		When on your own.
Allontana mobili pesanti da letti o divani.	Move heavy furniture away from beds or sofas.										Move heavy furniture away from beds or sofas.										Move heavy furniture away from beds or sofas.		#ERROR!		
Fissa alle pareti scaffali, librerie e altri mobili alti.	Secure shelves, bookcases, and other tall furniture to the walls.										Fix shelves, bookcases and other tall furniture to the walls.										Fix the wall shelves, bookcases, and other tall furniture.		#ERROR!		
Appendi quadri e specchi con ganci chiusi, che impediscano loro di staccarsi dalla parete.	Hang pictures and mirrors using closed hooks to prevent them from detaching from the wall.										Hang pictures and mirrors with closed hooks, which prevent them from detaching from the wall.										Hang pictures and mirrors with closed hooks to prevent them from coming off the wall.		#ERROR!		
Metti gli oggetti pesanti sui ripiani bassi delle scaffalature; su quelli alti, puoi fissare gli oggetti con il nastro biadesivo.	Place heavy items on the lower shelves of furniture; for higher shelves, you can secure objects with double-sided tape.										Place heavy objects on the lower shelves of the shelves; on the higher ones, you can fix the objects with double-sided tape.										Put heavy items on lower shelves; you can hold objects with double-sided tape on the higher ones.		#ERROR!		
In cucina, utilizza un fermo per l’apertura degli sportelli dei mobili dove sono contenuti piatti e bicchieri, in modo che non si aprano durante la scossa.	In the kitchen, use latches on cabinet doors containing plates and glasses to prevent them from opening during a tremor.										In the kitchen, use a stopper to open the doors of the furniture where plates and glasses are stored, so that they do not open during the earthquake.	4				4	4				In the kitchen, secure the cupboard flaps where plates and glasses are stored so they do not open during the earthquake.		#ERROR!	a. The translation segment that best conveys the meaning contained in the source text is the ChatGPT sample, since it use specific terms and the message is crystal-clear. b. The Google sample is misleading from the beginning with the expression "use a stopper to open the doors". The actuall purpose of the oject is to secure cabitents, not to open. That is why the meaning of the segments results higly impacted by this choice. c. The Gold Standard sample adopt a more semplified way, which although might be as effective as its counterpart with ChatGPT. 	
Impara dove sono e come si chiudono i rubinetti di gas, acqua e l’interruttore generale della luce.	Learn the locations of and how to shut off the gas, water valves, and the main power switch.	1					1				Learn where the gas and water taps and the main light switch are and how to turn them off.										Learn where and how to close the gas and water taps and the main light switch.		#ERROR!	The ChatGPT segment uses the term "location" that, although correct, is mostly connected to geographic places other than items or spots within the house.	
Prepara un kit di emergenza che contenga, ad esempio, copia dei documenti, cassetta di pronto soccorso, torcia elettrica, radio a pile, ecc.	Prepare an emergency kit containing, for example, copies of important documents, a first aid kit, a flashlight, a battery-powered radio, etc.						1				Prepare an emergency kit that contains, for example, copies of documents, a first aid kit, a flashlight, a battery-powered radio, etc.										Prepare an emergency kit containing, for example, a copy of documents, a first aid kit, a flashlight, a battery-powered radio, etc.		#ERROR!	a. The ChatGPT sample contains an additional term that is not displayed in the original text ("important"). This addition does not change anyway the meaning conveyed but it reinforces it. b. As mentioned earlier, the Gold Standard segment displays the article before "copy of documents". As the source text refers to documents in general, it would be better to translate the noun with the simple plural in order to reflect this idea of generality.	
Individua i punti sicuri dell’abitazione dove ripararti in caso di terremoto.	Identify safe spots in your home where you can take cover during an earthquake.	2		2		1	2				Identify safe places in your home where you can take shelter in the event of an earthquake.						1				Identify safe places in your home to take shelter during an earthquake.		#ERROR!	a. "To take cover", as displayed in the ChatGPT segment, does not look like an expression suitable for a situation of natural disaster. Usually, English speakers are more likle to say "to take shelter". b. "In the event of an earthquake", although correct, does not sound as fluid as "in case of..." or "during".	
Informati sul Piano di protezione civile del tuo Comune.	Find out about your municipality's Civil Protection Plan.										Find out about your municipality's civil protection plan.							1			Inform yourself about your municipality's Civil Protection Plan.		#ERROR!		
Se sei in un luogo chiuso	If you are indoors										If you are indoors										Indoor		#ERROR!	Indoor is just an adjective, hence the final s is required.	Indoors
Mettiti nel vano di una porta inserita in un muro portante (quello più spesso), vicino a una parete portante o sotto una trave, oppure riparati sotto un letto o un tavolo resistente.	Take cover in a doorway set in a load-bearing wall (the thickest one), near a load-bearing wall, or under a sturdy bed or table.	1		8		8	1				Get into a doorway in a load-bearing wall (the thickest one), near a load-bearing wall or under a beam, or take shelter under a sturdy bed or table.	2				1					Stand in a doorway built into a load-bearing wall (the thicker one), near a load-bearing wall or under a beam, or take cover under a resistant bed or table.		#ERROR!	a. "To take shelter" is preferable to "to take cover" in the ChatGPT sample. Also, the ChatGPT segment misses to translate "beam", ending in a less explicative outcome comparing to the other two segments.  b. "To get into", as shown in the Google sample, implies an action of movement. The main purpose of the source text is to invite readers to take shelter and not moving from there. Hence, this choice might be misleading. 	
Al centro della stanza potresti essere colpito dalla caduta di oggetti, pezzi di intonaco, controsoffitti, mobili ecc.	In the middle of the room, you might be struck by falling objects, pieces of plaster, false ceilings, furniture, etc.										In the center of the room you could be hit by falling objects, pieces of plaster, false ceilings, furniture, etc.										In the middle of the room, you may be hit by falling objects, pieces of plaster, suspended ceilings, furniture, etc.		#ERROR!		
Non precipitarti fuori, ma attendi la fine della scossa.	Do not rush outside but wait for the tremor to stop.										Do not rush outside, but wait for the earthquake to end.										Do not rush outside, but wait until the shaking is over.		#ERROR!	The Gold Standard sample uses the term "shaking". When talking of an earthquake, "tremor" is preferable. 	Do not rush outside but wait until the tremor is over.
Se sei all’aperto	If you are outdoors										If you are outdoors										Outdoor		#ERROR!	Outdoor is just an adjective form, hence the final s is required.	Outdoors
Allontanati da edifici, alberi, lampioni, linee elettriche: potresti essere colpito da vasi, tegole e altri materiali che cadono.	Move away from buildings, trees, streetlights, and power lines: you could be struck by falling pots, tiles, or other debris.	2		4		1					Move away from buildings, trees, street lamps, power lines: you could be hit by vases, tiles, and other falling materials.						1				Move away from buildings, trees, lampposts, power lines: you could be hit by vases, tiles and other materials that can fall		#ERROR!	a. "Pots" in the ChatGPT sample is a misleading terms as it mostly refers to items placed in a kitchen other than objsects outside. Nevertheless, this does not heavily impact the outcome of the translation, as the main purpose of the meaning conveyed is to warn readers against falling objects. b. "Materials" sounds cast from the source text, hence I would adopt the espression "debris" as displayed in the ChatGPT sample.	
Fai attenzione alle possibili conseguenze del terremoto: crollo di ponti, frane, perdite di gas ecc.	Be mindful of potential earthquake aftermaths: bridge collapses, landslides, gas leaks, etc.	1		1			1				Pay attention to the possible consequences of an earthquake: collapsed bridges, landslides, gas leaks, etc.	4		4		4					Pay attention to other possible consequences of the earthquake: collapse of bridges, landslides, gas leaks, etc.		#ERROR!	a. the use of "aftermaths" in the ChatGPT sample is not immediatly understood without relying on the context. Therefore, would be preferable to opt for a less refined term, such as "consequence". b. Google sample displays the expression "collapsed bridges". What the source text is actually trying to explain is that after tremors bridges that could look okay might collapse, which is clearly not explained in this sample.	
Assicurati dello stato di salute delle persone attorno a te e, se necessario, presta i primi soccorsi.	Check the health of those around you and provide first aid if necessary.										Check the health of the people around you and, if necessary, provide first aid.						1				Ensure the health condition of the people around you and give first aid if necessary.		#ERROR!		
Prima di uscire chiudi gas, acqua e luce e indossa le scarpe. 	Before leaving, turn off the gas, water, and electricity, and wear shoes.										Before leaving, turn off the gas, water and electricity and put on your shoes.										Before leaving, turn off the gas, water, and electricity, and wear shoes.		#ERROR!		
Uscendo, evita l’ascensore e fai attenzione alle scale, che potrebbero essere danneggiate.	When exiting, avoid using the elevator and be cautious with the stairs, which might be damaged.						1				When leaving, avoid the elevator and be careful of the stairs, which could be damaged.						1				On your way out, avoid the elevator and be careful on the stairs, as they may be damaged.				
