SRC:it	 engine1: ChatGPT to English	IMP_GPT	RAM_GPT	TRM_GPT	UGR_GPT	MIS_GPT	STL_GPT	PRF_GPT	PRN_GPT	SEGS_GPT	Google Translate to English	IMP_GT	RAM_GT	TRM_GT	UGR_GT	MIS_GT	STL_GT	PRF_GT	PRN_GT	SEGS_GT	Human Gold Standard	Segment Penalty Score	Levenstein XXX-Human	Comment	Post-edited segment
Se necessario, chiedi il parere di un tecnico.	If necessary, ask for a technician’s opinion.										If necessary, seek the advice of a technician.										If necessary, ask for a technician's advice.				
Prima di utilizzare i sistemi di scarico, informati che le reti fognarie, le fosse biologiche e i pozzi non siano danneggiati.	Before using drainage systems, ensure that sewer networks, septic tanks, and wells are undamaged.			1							Before using wastewater systems, make sure that sewer systems, septic tanks and wells are not damaged.			1							Before using sewage systems, find out whether sewer systems, septic tanks, and wells are not damaged.		#ERROR!	GT and ChatGPT produce two different outputs, although ChatGPT's output seems easier to understand	
Non transitare lungo strade allagate: potrebbero esserci voragini, buche, tombini aperti o cavi elettrici tranciati.	Do not walk along flooded streets: there may be voids, holes, open manholes, or cut electrical wires.					1	2				Do not drive along flooded roads: there may be sinkholes, potholes, open manholes or severed electrical wires. 										Do not pass along flooded roads: there may be sinkholes, potholes, open manholes, or sheared electrical wires. 		#ERROR!	ChatGPT makes an error in style (walk vs passing)	
Inoltre, l’acqua potrebbe essere inquinata da carburanti o altre sostanze.	 Additionally, the water may be contaminated with fuel or other substances.										In addition, the water may be contaminated with fuel or other substances.										Also, the water could be polluted by fuels or other substances.				
Fai attenzione anche alle zone dove l’acqua si è ritirata: il fondo stradale potrebbe essere indebolito e cedere.	Be cautious even in areas where the water has receded: the road surface may be weakened and could collapse.										Also pay attention to areas where the water has receded: the road surface may be weakened and give way.					4					Pay attention to areas where the water has receded: the roadbed may weaken and fail.		#ERROR!	Major error by GT (give away vs collapse).	
Prima di bere l’acqua dal rubinetto assicurati che ordinanze o avvisi comunali non lo vietino; non mangiare cibi che siano venuti a contatto con l’acqua dell’alluvione, potrebbero essere contaminati.	Before drinking tap water, ensure that there are no municipal ordinances or warnings against it; do not eat food that has come into contact with floodwater, as it may be contaminated.				1						Before drinking tap water, make sure there are no municipal ordinances or notices prohibiting it; do not eat foods that have come into contact with flood water, as they may be contaminated.										Before drinking water from the tap, make sure municipal ordinances or notices do not prohibit it; do not eat food that has come in contact with flood water; it could be contaminated.		#ERROR!		
Cosa fare - Terremoto	What to do - Earthquake										What to do - Earthquake										What to do - Earthquake				
Con il consiglio di un tecnico	With the advice of a professional										With the advice of a technician										With the advice of a technician		#ERROR!	Only ChatGPT used professional, instead of technician	
A volte basta rinforzare i muri portanti o migliorare i collegamenti fra pareti e solai: per fare la scelta giusta, fatti consigliare da un tecnico esperto.	Sometimes, it’s enough to reinforce load-bearing walls or improve the connections between walls and floors: to make the right choice, seek advice from an expert technician.										Sometimes it is enough to reinforce the load-bearing walls or improve the connections between walls and floors: to make the right choice, get advice from an expert technician.										Sometimes, you might just need to reinforce load-bearing walls or improve connections between walls and floors: to make the right choice, seek the advice of a qualified technician.		#ERROR!	Gold standard uses "qualified", even though the source used "expert"	
Da solo	On your own										Alone					2					On your own		#ERROR!	GT translated "alone"	
Allontana mobili pesanti da letti o divani.	Move heavy furniture away from beds or sofas.										Move heavy furniture away from beds or sofas.										Move heavy furniture away from beds or sofas.		#ERROR!		
Fissa alle pareti scaffali, librerie e altri mobili alti.	Secure shelves, bookcases, and other tall furniture to the walls.										Fix shelves, bookcases and other tall furniture to the walls.										Fix the wall shelves, bookcases, and other tall furniture.		#ERROR!	Secure vs Fix	
Appendi quadri e specchi con ganci chiusi, che impediscano loro di staccarsi dalla parete.	Hang pictures and mirrors using closed hooks to prevent them from detaching from the wall.										Hang pictures and mirrors with closed hooks, which prevent them from detaching from the wall.										Hang pictures and mirrors with closed hooks to prevent them from coming off the wall.		#ERROR!	Gold used the expression "off the wall", which is idiomatic. GT and ChatGPT produced better translations	
Metti gli oggetti pesanti sui ripiani bassi delle scaffalature; su quelli alti, puoi fissare gli oggetti con il nastro biadesivo.	Place heavy items on the lower shelves of furniture; for higher shelves, you can secure objects with double-sided tape.										Place heavy objects on the lower shelves of the shelves; on the higher ones, you can fix the objects with double-sided tape.						1				Put heavy items on lower shelves; you can hold objects with double-sided tape on the higher ones.		#ERROR!	GT is redundant in the use of the shelves. ChatGPT repeats the use of secure vs fix	
In cucina, utilizza un fermo per l’apertura degli sportelli dei mobili dove sono contenuti piatti e bicchieri, in modo che non si aprano durante la scossa.	In the kitchen, use latches on cabinet doors containing plates and glasses to prevent them from opening during a tremor.						2				In the kitchen, use a stopper to open the doors of the furniture where plates and glasses are stored, so that they do not open during the earthquake.	8				8					In the kitchen, secure the cupboard flaps where plates and glasses are stored so they do not open during the earthquake.		#ERROR!	GT mistranslates and fails to convey the source text's message. Source Text may not be fit for MT, as it is written. ChatGPT translates scossa into tremor, which is less frequent than earthquake	
Impara dove sono e come si chiudono i rubinetti di gas, acqua e l’interruttore generale della luce.	Learn the locations of and how to shut off the gas, water valves, and the main power switch.										Learn where the gas and water taps and the main light switch are and how to turn them off.										Learn where and how to close the gas and water taps and the main light switch.		#ERROR!	ChatGPT translates into main power switch compared to GT with main light switch	
Prepara un kit di emergenza che contenga, ad esempio, copia dei documenti, cassetta di pronto soccorso, torcia elettrica, radio a pile, ecc.	Prepare an emergency kit containing, for example, copies of important documents, a first aid kit, a flashlight, a battery-powered radio, etc.										Prepare an emergency kit that contains, for example, copies of documents, a first aid kit, a flashlight, a battery-powered radio, etc.										Prepare an emergency kit containing, for example, a copy of documents, a first aid kit, a flashlight, a battery-powered radio, etc.		#ERROR!	Here ChatGPT translates like GT, battery-powered radio > Randomness of output	
Individua i punti sicuri dell’abitazione dove ripararti in caso di terremoto.	Identify safe spots in your home where you can take cover during an earthquake.						1				Identify safe places in your home where you can take shelter in the event of an earthquake.										Identify safe places in your home to take shelter during an earthquake.		#ERROR!	ChatGPT translates "take cover" vs take shelter	
Informati sul Piano di protezione civile del tuo Comune.	Find out about your municipality's Civil Protection Plan.										Find out about your municipality's civil protection plan.										Inform yourself about your municipality's Civil Protection Plan.		#ERROR!		
Se sei in un luogo chiuso	If you are indoors										If you are indoors										Indoor		#ERROR!	ChatGPT and GT translate "if you are indoors", which looks better compared to Gold	
Mettiti nel vano di una porta inserita in un muro portante (quello più spesso), vicino a una parete portante o sotto una trave, oppure riparati sotto un letto o un tavolo resistente.	Take cover in a doorway set in a load-bearing wall (the thickest one), near a load-bearing wall, or under a sturdy bed or table.										Get into a doorway in a load-bearing wall (the thickest one), near a load-bearing wall or under a beam, or take shelter under a sturdy bed or table.						1				Stand in a doorway built into a load-bearing wall (the thicker one), near a load-bearing wall or under a beam, or take cover under a resistant bed or table.		#ERROR!	GT translates into "get into", due to the ambiguity of the source. ChatGPT uses "take cover" which makes more sense 	
Al centro della stanza potresti essere colpito dalla caduta di oggetti, pezzi di intonaco, controsoffitti, mobili ecc.	In the middle of the room, you might be struck by falling objects, pieces of plaster, false ceilings, furniture, etc.										In the center of the room you could be hit by falling objects, pieces of plaster, false ceilings, furniture, etc.										In the middle of the room, you may be hit by falling objects, pieces of plaster, suspended ceilings, furniture, etc.		#ERROR!	Both ChatGPT and GT translate "false ceilings"	
Non precipitarti fuori, ma attendi la fine della scossa.	Do not rush outside but wait for the tremor to stop.						2				Do not rush outside, but wait for the earthquake to end.										Do not rush outside, but wait until the shaking is over.		#ERROR!	Again ChatGPT translates scossa into tremor. GT translates into earthquake	
Se sei all’aperto	If you are outdoors										If you are outdoors										Outdoor		#ERROR!	ChatGPT and GT translate "if you are outdoors", which looks better compared to Gold	
Allontanati da edifici, alberi, lampioni, linee elettriche: potresti essere colpito da vasi, tegole e altri materiali che cadono.	Move away from buildings, trees, streetlights, and power lines: you could be struck by falling pots, tiles, or other debris.						1				Move away from buildings, trees, street lamps, power lines: you could be hit by vases, tiles, and other falling materials.										Move away from buildings, trees, lampposts, power lines: you could be hit by vases, tiles and other materials that can fall		#ERROR!	ChatGPT uses a very specific word for falling materials, which is correct, but in this context it may not be intelligible by everyone	
Fai attenzione alle possibili conseguenze del terremoto: crollo di ponti, frane, perdite di gas ecc.	Be mindful of potential earthquake aftermaths: bridge collapses, landslides, gas leaks, etc.										Pay attention to the possible consequences of an earthquake: collapsed bridges, landslides, gas leaks, etc.										Pay attention to other possible consequences of the earthquake: collapse of bridges, landslides, gas leaks, etc.		#ERROR!	ChatGPT is more fluent in the style (Be mindful, aftermaths)	
Assicurati dello stato di salute delle persone attorno a te e, se necessario, presta i primi soccorsi.	Check the health of those around you and provide first aid if necessary.										Check the health of the people around you and, if necessary, provide first aid.										Ensure the health condition of the people around you and give first aid if necessary.		#ERROR!	ChatGPT and GT provide better solutions than the Gold	
Prima di uscire chiudi gas, acqua e luce e indossa le scarpe. 	Before leaving, turn off the gas, water, and electricity, and wear shoes.										Before leaving, turn off the gas, water and electricity and put on your shoes.						1				Before leaving, turn off the gas, water, and electricity, and wear shoes.		#ERROR!	GT translates "put on your shoes"	
Uscendo, evita l’ascensore e fai attenzione alle scale, che potrebbero essere danneggiate.	When exiting, avoid using the elevator and be cautious with the stairs, which might be damaged.				1						When leaving, avoid the elevator and be careful of the stairs, which could be damaged.										On your way out, avoid the elevator and be careful on the stairs, as they may be damaged.			ChatGPT translates exiting without a direct object	
Una volta fuori, mantieni un atteggiamento prudente.	Once outside, maintain a cautious attitude.										Once outside, maintain a prudent attitude.						1				Once outside, maintain a cautious attitude.			GT uses prudent, which is too literal compared to cautious	
Se sei in una zona a rischio maremoto, allontanati dalla spiaggia e raggiungi un posto elevato.	If you are in a tsunami-risk area, move away from the beach and seek higher ground.						1				If you are in a tsunami risk area, move away from the beach and reach a high place.										If you are in a zone exposed to tsunami risk, move away from the beach and reach a higher place.		#ERROR!	Gold and GT are very similar, ChatGPT uses seek higher ground	
Limita, per quanto possibile, l’uso del telefono.	Limit phone usage as much as possible.										Limit, as much as possible, the use of the telephone.										Limit, as much as possible, the use of the phone.		#ERROR!	Gold and GT are very similar	
Limita l’uso dell’auto per evitare di intralciare il passaggio dei mezzi di soccorso.	Limit car use to avoid obstructing emergency vehicles.						1				Limit the use of the car to avoid obstructing the passage of emergency vehicles.										Limit the use of the car to avoid obstructing the passage of emergency vehicles.		#ERROR!	ChatGPT is slightly ambiguous	
Raggiungi le aree di attesa previste dal Piano di protezione civile comunale.	Reach the designated assembly areas outlined in your municipality's Civil Protection Plan.										Reach the waiting areas provided for by the Municipal Civil Protection Plan.										Reach the waiting areas provided by your municipality's emergency plan.		#ERROR!	ChatGPT uses a very precise word, assembly area, which is fluent and correct in this context	
Cosa fare - Vesuvio	What to do - Vesuvius										What to do - Vesuvius										What to do - Vesuvius				
Verifica se l’area in cui vivi, lavori o soggiorni rientra in zona rossa o gialla.	Check if the area where you live, work, or stay is within the red or yellow zone.										Check if the area where you live, work or stay is in the red or yellow zone.										Verify if the area where you live, work, or stay is in the red or yellow zone.		#ERROR!	Gold standard seems like a calque from the source	
Informati sul Piano di protezione civile del tuo Comune.	Learn about the Civil Protection Plan of your municipality.										Find out about your Municipality's Civil Protection Plan.										Find out about your municipality's Civil Protection Plan.		#ERROR!		
Se tu o un tuo familiare avete bisogno di particolare assistenza (persone con disabilità, anziani), segnalalo al Comune.	If you or a family member needs special assistance (people with disabilities, elderly), report it to your municipality.										If you or a family member need special assistance (people with disabilities, elderly), report it to the Municipality.										If you or a family member needs special assistance (people with disabilities, older people), report it to the municipality.		#ERROR!		
Tieniti informato sullo stato di attività del vulcano tramite il sito dell’Osservatorio Vesuviano dell’INGV, siti web e social media istituzionali e numeri verdi.	Stay informed about the volcano's activity status through the website of the INGV Vesuvian Observatory, institutional websites and social media, and toll-free numbers.										Stay informed about the status of the volcano's activity through the INGV Vesuvius Observatory website, institutional websites and social media, and toll-free numbers.										Stay informed about the status of volcanic activity through INGV's Vesuvius Observatory website, institutional websites, social media, and hotline numbers.		#ERROR!	Gold standards uses hotline vs toll-free number, which gives more the idea of a free of charge call	
Le eruzioni vulcaniche sono spesso precedute da terremoti. 	Volcanic eruptions are often preceded by earthquakes. 										Volcanic eruptions are often preceded by earthquakes. 										Earthquakes often precede volcanic eruptions. 		#ERROR!	In the gold stanrdard the focus is on the earthquake vs the eruption	
Per questo, verifica che la tua casa sia sicura e adotta tutti gli accorgimenti necessari a eliminare le situazioni che possono rappresentare un pericolo.	Therefore, check if your home is safe and take all necessary precautions to eliminate potential hazards.										For this reason, make sure your home is safe and take all necessary precautions to eliminate situations that may represent a danger.										Therefore, verify that your home is safe and take all necessary measures to avoid situations that may pose a danger.		#ERROR!		
In questa fase operativa si intensifica il monitoraggio del vulcano e si verificano i Piani di protezione civile.	In this operational phase, volcano monitoring is intensified, and Civil Protection Plans are tested.										In this operational phase, monitoring of the volcano is intensified and the Civil Protection Plans are verified.										During this operational phase, volcano monitoring is intensified, and Civil Protection Plans are verified.		#ERROR!		
Già in fase di attenzione, quindi ben prima di una eventuale eruzione, l’attività del vulcano può dare luogo a fenomeni pericolosi, come terremoti.	Even during the attention phase, well before a potential eruption, volcanic activity can lead to dangerous phenomena like earthquakes					2					Already in the attention phase, therefore well before a possible eruption, the volcano's activity can give rise to dangerous phenomena, such as earthquakes.					2					Already in the attention phase, thus well before a potential eruption, volcanic activity can result in dangerous phenomena, such as earthquakes.		#ERROR!	Attention phase seems ambiguous here, due to the ambiguity of the source	
Tieni quindi a mente i comportamenti relativi al rischio sismico.	Keep in mind behaviors related to seismic risk.										Therefore, keep in mind the behaviors related to seismic risk.										Therefore, keep in mind behaviours related to seismic risk.		#ERROR!		
Se vivi in zona rossa	If you live in the red zone										If you live in a red zone										If you live in a red zone		#ERROR!		
Chiedi al tuo Comune informazioni sul Piano di protezione civile per sapere quali sono le vie di allontanamento e le aree di attesa.	Ask your municipality for information about the Civil Protection Plan to find out about evacuation routes and waiting areas.										Ask your Municipality for information on the Civil Protection Plan to find out which are the evacuation routes and waiting areas.										Ask your municipality about the Civil Protection Plan to learn about evacuation routes and waiting areas. 		#ERROR!		
Valuta se, quando le autorità daranno l’indicazione, ti allontanerai con la tua auto o con il mezzo che sarà messo a disposizione dalla protezione civile.	Evaluate whether, when authorities give the order, you will leave using your car or the transport provided by Civil Protection.										Consider whether, when the authorities give the indication, you will leave with your car or with the vehicle that will be made available by the Civil Protection.										When the authorities give the directions, evaluate whether you will evacuate with your car, or the vehicle provided by the civil protection. 		#ERROR!		
Ricorda di segnalare al tuo Comune se tu o un tuo familiare avete particolari esigenze di assistenza per l’allontanamento e la sistemazione in un’abitazione alternativa.	Remember to report to your municipality if you or a family member have special assistance needs for evacuation and accommodation in an alternative residence.										Remember to notify your Municipality if you or a family member have special assistance needs for moving away and finding accommodation in an alternative home.					2					Be sure to notify your municipality if you or a family member has special assistance needs for evacuation and accommodation in alternative housing.		#ERROR!		
Inizia anche a pensare se ti trasferirai in un’altra casa di tua proprietà o da parenti o amici, fuori dalle zone rossa e gialla, ricevendo un contributo economico.	Start considering if you will move to another home you own or stay with relatives or friends outside the red and yellow zones, receiving financial support.										Also start thinking about whether you will move to another home of your own or to relatives or friends, outside the red and yellow zones, receiving a financial contribution.										Also, consider whether you will relocate to another home owned by you or by relatives or friends outside the red and yellow zones, receiving financial assistance from the State.		#ERROR!		
In alternativa, potrai usufruire della sistemazione offerta dallo Stato, nella Regione o Provincia autonoma gemellata con il tuo Comune.	Alternatively, you can take advantage of the accommodation offered by the State in the Region or Autonomous Province paired with your municipality.					1					Alternatively, you can take advantage of the accommodation offered by the State, in the Region or Autonomous Province twinned with your Municipality.										Otherwise, you can take advantage of the accommodations offered by the State in the Region or Autonomous Province twinned with your municipality.		#ERROR!		
In questa fase operativa iniziano le operazioni più lunghe e complesse da svolgere nella zona rossa: il trasferimento delle persone presenti negli ospedali e negli istituti penitenziari, lo spostamento degli animali da allevamento e la messa in sicurezza dei beni culturali più importanti.	In this operational phase, the longer and more complex operations are carried out in the red zone: transferring people from hospitals and penitentiaries, relocating farm animals, and securing the most important cultural assets.										In this operational phase, the longest and most complex operations to be carried out in the red zone begin: the transfer of people present in hospitals and penitentiaries, the movement of farm animals and the securing of the most important cultural assets.										At this operational phase, the most time-consuming and complex operations planned for the red zone begin, including relocation of people in hospitals and penitentiary institutions, displacement of farm animals, and safeguarding major cultural properties.		#ERROR!		
